Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
53175507,00000310,false,Rx,0,8,40,05,FC,FF,00,00,FF,FF,
53175876,00000600,false,Rx,0,8,5C,5B,8A,FF,11,27,8F,41,
53176897,00000200,false,Rx,0,8,0D,00,00,80,7A,C1,E2,1E,
53177896,00000210,false,Rx,0,8,17,2D,05,80,05,C1,6C,DE,
53178929,00000220,false,Rx,0,8,B8,2C,05,80,01,C1,4B,81,
53181930,00000110,false,Rx,0,8,FF,7F,FE,7F,AE,DF,3C,16,
53185886,00000600,false,Rx,0,8,5C,5B,8A,FF,11,27,90,41,
53186893,00000200,false,Rx,0,8,14,00,00,80,AA,D1,BC,1B,
53187895,00000210,false,Rx,0,8,13,2D,05,80,05,D1,6C,96,
53188060,00000100,false,Rx,0,4,AA,71,FF,2E,00,00,00,00,
53188246,00000300,false,Rx,0,4,FF,FE,FF,FF,00,00,00,00,
53188928,00000220,false,Rx,0,8,9A,2C,05,80,01,D1,4C,CF,
53195512,00000310,false,Rx,0,8,40,05,FC,FF,00,00,FF,FF,
53195881,00000600,false,Rx,0,8,5C,5B,8A,FF,12,27,90,41,
53196892,00000200,false,Rx,0,8,12,00,00,80,AA,E1,BC,69,
53197902,00000210,false,Rx,0,8,17,2D,05,80,05,E1,6D,06,
53198925,00000220,false,Rx,0,8,AD,2C,05,80,01,E1,48,9C,
53201935,00000110,false,Rx,0,8,FF,7F,FE,7F,AE,EF,3C,02,
53205891,00000600,false,Rx,0,8,5C,5B,8A,FF,11,27,90,41,
53206898,00000200,false,Rx,0,8,11,00,00,80,AA,01,BD,D2,
53207910,00000210,false,Rx,0,8,1C,2D,05,80,05,01,6D,F5,
53208076,00000100,false,Rx,0,4,AA,81,FF,6A,00,00,00,00,
53208262,00000300,false,Rx,0,4,FF,FE,FF,FF,00,00,00,00,
53208944,00000220,false,Rx,0,8,AD,2C,05,80,01,01,49,14,
53210871,00000511,false,Rx,0,8,00,00,00,F8,00,00,00,C0,
53211935,00000420,false,Rx,0,8,01,01,01,01,01,01,01,FF,
