Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
240493484,00000100,false,Rx,0,4,55,01,FF,20,00,00,00,00,
240506754,00000300,false,Rx,0,4,00,00,00,00,00,00,00,00,
240513477,00000100,false,Rx,0,4,55,11,FE,EC,00,00,00,00,
240526759,00000300,false,Rx,0,4,00,00,00,00,00,00,00,00,
240533479,00000100,false,Rx,0,4,55,21,FE,F8,00,00,00,00,
240546771,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240553470,00000100,false,Rx,0,4,55,31,FF,34,00,00,00,00,
240566730,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240573462,00000100,false,Rx,0,4,55,41,FE,D0,00,00,00,00,
240586765,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240593474,00000100,false,Rx,0,4,55,51,FF,1C,00,00,00,00,
240606745,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240613466,00000100,false,Rx,0,4,55,61,FF,08,00,00,00,00,
240626728,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240633460,00000100,false,Rx,0,4,55,71,FE,C4,00,00,00,00,
240646722,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240653463,00000100,false,Rx,0,4,55,81,FE,80,00,00,00,00,
240666723,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240673454,00000100,false,Rx,0,4,55,91,FF,4C,00,00,00,00,
240686726,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240693457,00000100,false,Rx,0,4,55,A1,FF,58,00,00,00,00,
240706717,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240713458,00000100,false,Rx,0,4,55,B1,FE,94,00,00,00,00,
240726864,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240733462,00000100,false,Rx,0,4,55,C1,FF,70,00,00,00,00,
240746701,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240753443,00000100,false,Rx,0,4,55,D1,FE,BC,00,00,00,00,
240766703,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240773447,00000100,false,Rx,0,4,55,E1,FE,A8,00,00,00,00,
240786726,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240793438,00000100,false,Rx,0,4,55,01,FF,20,00,00,00,00,
240806717,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240813438,00000100,false,Rx,0,4,55,11,FE,EC,00,00,00,00,
240826771,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240833440,00000100,false,Rx,0,4,55,21,FE,F8,00,00,00,00,
240846690,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240853432,00000100,false,Rx,0,4,55,31,FF,34,00,00,00,00,
240866681,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240873433,00000100,false,Rx,0,4,55,41,FE,D0,00,00,00,00,
240886705,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240893427,00000100,false,Rx,0,4,55,51,FF,1C,00,00,00,00,
240906697,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240913431,00000100,false,Rx,0,4,55,61,FF,08,00,00,00,00,
240926774,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240933432,00000100,false,Rx,0,4,55,71,FE,C4,00,00,00,00,
240946691,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240953433,00000100,false,Rx,0,4,55,81,FE,80,00,00,00,00,
240966674,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240973426,00000100,false,Rx,0,4,55,91,FF,4C,00,00,00,00,
240986706,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
240993417,00000100,false,Rx,0,4,55,A1,FF,58,00,00,00,00,
241006696,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241013418,00000100,false,Rx,0,4,55,B1,FE,94,00,00,00,00,
241026718,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241033420,00000100,false,Rx,0,4,55,C1,FF,70,00,00,00,00,
241046669,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241053411,00000100,false,Rx,0,4,55,D1,FE,BC,00,00,00,00,
241066681,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241073413,00000100,false,Rx,0,4,55,E1,FE,A8,00,00,00,00,
241086673,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241093415,00000100,false,Rx,0,4,55,01,FF,20,00,00,00,00,
241106675,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241113407,00000100,false,Rx,0,4,55,11,FE,EC,00,00,00,00,
241126690,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241133411,00000100,false,Rx,0,4,55,21,FE,F8,00,00,00,00,
241146661,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241153404,00000100,false,Rx,0,4,55,31,FF,34,00,00,00,00,
241166667,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241173399,00000100,false,Rx,0,4,55,41,FE,D0,00,00,00,00,
241186691,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241193401,00000100,false,Rx,0,4,55,51,FF,1C,00,00,00,00,
241206672,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241213393,00000100,false,Rx,0,4,55,61,FF,08,00,00,00,00,
241226801,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241233396,00000100,false,Rx,0,4,55,71,FE,C4,00,00,00,00,
241246646,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241253399,00000100,false,Rx,0,4,55,81,FE,80,00,00,00,00,
241266659,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241273391,00000100,false,Rx,0,4,55,91,FF,4C,00,00,00,00,
241286650,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241293382,00000100,false,Rx,0,4,55,A1,FF,58,00,00,00,00,
241306653,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241313385,00000100,false,Rx,0,4,55,B1,FE,94,00,00,00,00,
241326770,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241333387,00000100,false,Rx,0,4,55,C1,FF,70,00,00,00,00,
241346635,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241353379,00000100,false,Rx,0,4,55,D1,FE,BC,00,00,00,00,
241366639,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241373381,00000100,false,Rx,0,4,55,E1,FE,A8,00,00,00,00,
241386661,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241393384,00000100,false,Rx,0,4,55,01,FF,20,00,00,00,00,
241406644,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241413376,00000100,false,Rx,0,4,55,11,FE,EC,00,00,00,00,
241426648,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241433369,00000100,false,Rx,0,4,55,21,FE,F8,00,00,00,00,
241446638,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241453371,00000100,false,Rx,0,4,55,31,FF,34,00,00,00,00,
241466630,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241473374,00000100,false,Rx,0,4,55,41,FE,D0,00,00,00,00,
241486644,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241493366,00000100,false,Rx,0,4,55,51,FF,1C,00,00,00,00,
241506625,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241513367,00000100,false,Rx,0,4,55,61,FF,08,00,00,00,00,
241526699,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241533359,00000100,false,Rx,0,4,55,71,FE,C4,00,00,00,00,
241546618,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241553360,00000100,false,Rx,0,4,55,81,FE,80,00,00,00,00,
241566619,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241573351,00000100,false,Rx,0,4,55,91,FF,4C,00,00,00,00,
241586642,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241593353,00000100,false,Rx,0,4,55,A1,FF,58,00,00,00,00,
241606623,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241613355,00000100,false,Rx,0,4,55,B1,FE,94,00,00,00,00,
241626649,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241633349,00000100,false,Rx,0,4,55,C1,FF,70,00,00,00,00,
241646609,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241653339,00000100,false,Rx,0,4,55,D1,FE,BC,00,00,00,00,
241666600,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241673342,00000100,false,Rx,0,4,55,E1,FE,A8,00,00,00,00,
241686615,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241693345,00000100,false,Rx,0,4,55,01,FF,20,00,00,00,00,
241706607,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241713338,00000100,false,Rx,0,4,55,11,FE,EC,00,00,00,00,
241726630,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241733339,00000100,false,Rx,0,4,55,21,FE,F8,00,00,00,00,
241746589,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241753332,00000100,false,Rx,0,4,55,31,FF,34,00,00,00,00,
241766602,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241773334,00000100,false,Rx,0,4,55,41,FE,D0,00,00,00,00,
241786614,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241793335,00000100,false,Rx,0,4,55,51,FF,1C,00,00,00,00,
241806594,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241813328,00000100,false,Rx,0,4,55,61,FF,08,00,00,00,00,
241826599,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241833330,00000100,false,Rx,0,4,55,71,FE,C4,00,00,00,00,
241846570,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241853323,00000100,false,Rx,0,4,55,81,FE,80,00,00,00,00,
241866582,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241873314,00000100,false,Rx,0,4,55,91,FF,4C,00,00,00,00,
241886593,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241893315,00000100,false,Rx,0,4,55,A1,FF,58,00,00,00,00,
241906586,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241913318,00000100,false,Rx,0,4,55,B1,FE,94,00,00,00,00,
241926618,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241933319,00000100,false,Rx,0,4,55,C1,FF,70,00,00,00,00,
241946560,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241953312,00000100,false,Rx,0,4,55,D1,FE,BC,00,00,00,00,
241966582,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241973303,00000100,false,Rx,0,4,55,E1,FE,A8,00,00,00,00,
241986593,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
241993315,00000100,false,Rx,0,4,55,01,FF,20,00,00,00,00,
242006575,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242013307,00000100,false,Rx,0,4,55,11,FE,EC,00,00,00,00,
242026649,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242033308,00000100,false,Rx,0,4,55,21,FE,F8,00,00,00,00,
242046557,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242053302,00000100,false,Rx,0,4,55,31,FF,34,00,00,00,00,
242066561,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242073293,00000100,false,Rx,0,4,55,41,FE,D0,00,00,00,00,
242086563,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242093296,00000100,false,Rx,0,4,55,51,FF,1C,00,00,00,00,
242106576,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242113297,00000100,false,Rx,0,4,55,61,FF,08,00,00,00,00,
242126671,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242133290,00000100,false,Rx,0,4,55,71,FE,C4,00,00,00,00,
242146550,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242153292,00000100,false,Rx,0,4,55,81,FE,80,00,00,00,00,
242166552,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242173283,00000100,false,Rx,0,4,55,91,FF,4C,00,00,00,00,
242186576,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242193286,00000100,false,Rx,0,4,55,A1,FF,58,00,00,00,00,
242206549,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242213280,00000100,false,Rx,0,4,55,B1,FE,94,00,00,00,00,
242226551,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242233292,00000100,false,Rx,0,4,55,C1,FF,70,00,00,00,00,
242246531,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242253282,00000100,false,Rx,0,4,55,D1,FE,BC,00,00,00,00,
242266542,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242273284,00000100,false,Rx,0,4,55,E1,FE,A8,00,00,00,00,
242286543,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242293276,00000100,false,Rx,0,4,55,01,FF,20,00,00,00,00,
242306535,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242313267,00000100,false,Rx,0,4,55,11,FE,EC,00,00,00,00,
242326651,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
242333270,00000100,false,Rx,0,4,55,21,FE,F8,00,00,00,00,
242346520,00000300,false,Rx,0,4,51,FD,FF,FF,00,00,00,00,
