Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
782547938,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,00,
782548183,00000507,false,Rx,0,8,40,07,00,00,00,00,00,00,
782565259,000002F5,false,Rx,0,8,C0,0F,00,20,E0,07,00,20,
782567898,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
782568143,00000239,false,Rx,0,8,FF,FF,FF,FF,FF,C8,FF,FF,
782568381,00000431,false,Rx,0,8,D7,FC,FF,FF,FF,FF,DF,1E,
782568641,00000432,false,Rx,0,8,FC,FF,22,C8,FF,7C,00,BC,
782577889,000001FA,false,Rx,0,8,40,78,05,70,FF,46,FF,FF,
782578134,0000040D,false,Rx,0,8,00,00,FC,FF,00,00,FC,FF,
782587892,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
782607889,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
782617896,00000239,false,Rx,0,8,FF,FF,FF,FF,FF,C8,FF,FF,
782618141,00000431,false,Rx,0,8,D7,FC,FF,FF,FF,FF,DF,1E,
782618379,000002A5,false,Rx,0,8,DE,2F,FF,FF,FF,FF,FF,FF,
782618619,00000432,false,Rx,0,8,FC,FF,22,C8,FF,7C,00,BC,
782627896,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
782628131,00000295,false,Rx,0,8,3D,51,4C,08,04,FF,FF,FF,
782628379,000002F5,false,Rx,0,8,C0,0F,00,20,E0,07,00,20,
782637893,000001FA,false,Rx,0,8,40,48,05,70,FF,46,FF,FF,
782647901,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
782648146,0000040D,false,Rx,0,8,00,00,FC,FF,00,00,FC,FF,
782668030,00000112,false,Rx,0,8,FF,FF,FF,FF,FF,7F,F5,FF,
782668274,00000431,false,Rx,0,8,D6,FC,FF,FF,FF,FF,DF,1E,
782685257,00000239,false,Rx,0,8,FF,43,01,09,02,C8,FF,FF,
782685812,00000432,false,Rx,0,8,FC,FF,22,C4,FF,7C,00,BC,
782687890,00000112,false,Rx,0,8,00,20,FF,FF,FF,7F,F5,FF,
782697880,000001FA,false,Rx,0,8,40,4A,05,70,FF,3B,FF,FF,
782707886,00000112,false,Rx,0,8,00,20,FF,FF,FF,7F,F5,00,
782717895,000002A5,false,Rx,0,8,DE,2F,FF,FF,FF,FF,FF,FF,
782718129,00000431,false,Rx,0,8,D6,FC,FF,FF,FF,06,D2,1E,
782718377,00000587,false,Rx,0,8,06,00,00,FF,FF,FF,FF,FF,
782727895,00000112,false,Rx,0,8,00,20,FF,FF,FF,7F,F5,00,
782728026,0000033E,false,Rx,0,2,FC,FF,00,00,00,00,00,00,
782728273,00000430,false,Rx,0,8,C0,0F,E0,07,FF,FF,FF,FF,
782728523,000002F5,false,Rx,0,8,C0,0F,00,20,E0,07,00,20,
782737884,00000295,false,Rx,0,8,DA,52,4C,08,04,FF,FF,FF,
782747881,00000112,false,Rx,0,8,00,20,FF,FF,FF,7F,F5,00,
782767880,00000112,false,Rx,0,8,00,20,FF,FF,FF,7F,F5,00,
782786828,000002F5,false,Rx,0,8,C0,0F,08,20,E0,07,9C,1F,
782787878,00000112,false,Rx,0,8,00,20,FF,FF,FF,7F,F5,00,
782807879,00000112,false,Rx,0,8,00,20,FF,FF,FF,7F,F5,00,
782817855,00000239,false,Rx,0,8,FF,43,01,09,02,C8,FF,FF,
782818089,00000431,false,Rx,0,8,D6,FC,FF,FF,FF,06,D2,1E,
782818337,000002A5,false,Rx,0,8,DE,2F,FF,FF,FF,FF,FF,FF,
782818568,00000432,false,Rx,0,8,FC,FF,22,C4,FF,7C,00,BC,
782827887,00000112,false,Rx,0,8,00,20,FF,FF,FF,7F,F5,00,
782828131,000002F5,false,Rx,0,8,C0,0F,08,20,E0,07,9C,1F,
782847863,00000112,false,Rx,0,8,00,20,FF,FF,FF,7F,F5,00,
782867860,00000112,false,Rx,0,8,00,20,FF,FF,FF,7F,F5,00,
782886822,000002F5,false,Rx,0,8,B9,0F,08,20,85,0A,9C,1F,
782887861,00000112,false,Rx,0,8,00,20,FF,FF,FF,7F,F5,00,
782907863,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F5,00,
782917861,000002A5,false,Rx,0,8,DE,2F,FF,FF,FF,FF,FF,FF,
782927869,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F5,00,
782928103,000002F5,false,Rx,0,8,B9,0F,08,20,85,0A,9C,1F,
782937895,00000430,false,Rx,0,8,B9,0F,93,0A,FF,FF,FF,FF,
782947850,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
782967848,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
782986822,000002F5,false,Rx,0,8,B9,0F,0A,20,85,0A,A1,1F,
782987841,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783007842,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783017839,00000239,false,Rx,0,8,FF,43,01,09,02,C8,FF,FF,
783018073,00000431,false,Rx,0,8,D6,FC,FF,FF,FF,06,D2,1E,
783018312,000002A5,false,Rx,0,8,DE,2F,FF,FF,FF,FF,FF,FF,
783018551,00000432,false,Rx,0,8,FC,FF,22,C4,FF,7C,00,BC,
783027850,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783028084,000002F5,false,Rx,0,8,B9,0F,0A,20,85,0A,A1,1F,
783047844,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783067833,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783086492,00000431,false,Rx,0,8,D6,FC,FF,FF,FF,06,32,1E,
783086738,00000239,false,Rx,0,8,FF,00,00,28,02,C8,FF,FF,
783087017,000002F5,false,Rx,0,8,B9,0F,00,20,85,0A,00,20,
783087834,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783088939,000001FA,false,Rx,0,8,40,4A,05,70,3B,3B,3A,3D,
783107828,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783117838,000002A5,false,Rx,0,8,43,29,FF,FF,FF,FF,FF,FF,
783127845,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783128080,000002F5,false,Rx,0,8,B9,0F,00,20,85,0A,00,20,
783147829,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783167827,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783186943,000002F5,false,Rx,0,8,BA,0F,00,20,85,0A,00,20,
783187570,00000430,false,Rx,0,8,BA,0F,93,0A,FF,FF,FF,FF,
783187859,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783188109,00000507,false,Rx,0,8,40,07,00,00,00,00,00,00,
783207816,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783217812,00000239,false,Rx,0,8,FF,00,00,28,02,C8,FF,FF,
783218058,00000431,false,Rx,0,8,D6,FC,FF,FF,FF,06,32,1E,
783218296,000002A5,false,Rx,0,8,43,29,FF,FF,FF,FF,FF,FF,
783218526,00000432,false,Rx,0,8,FC,FF,22,C4,FF,7C,00,BC,
783227824,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783228070,000002F5,false,Rx,0,8,BA,0F,00,20,85,0A,00,20,
783247823,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783267820,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783287807,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783307804,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783317812,000002A5,false,Rx,0,8,43,29,FF,FF,FF,FF,FF,FF,
783327820,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783328054,000002F5,false,Rx,0,8,BA,0F,00,20,85,0A,00,20,
783347807,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783367803,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783387791,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783407787,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783417796,00000239,false,Rx,0,8,FF,00,00,28,02,C8,FF,FF,
783418030,00000431,false,Rx,0,8,D6,FC,FF,FF,FF,06,32,1E,
783418268,000002A5,false,Rx,0,8,43,29,FF,FF,FF,FF,FF,FF,
783418509,00000432,false,Rx,0,8,FC,FF,22,C4,FF,7C,00,BC,
783427807,00000112,false,Rx,0,8,00,20,4D,0D,FF,7F,F9,00,
783428041,000002F5,false,Rx,0,8,BA,0F,00,20,85,0A,00,20,
