Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
53904019,00000200,false,Rx,0,8,02,00,00,80,22,01,D9,71,
53904975,00000210,false,Rx,0,8,F6,09,00,80,00,04,C8,A7,
53905595,00000410,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FF,
53905978,00000220,false,Rx,0,8,23,00,00,80,01,01,C6,F0,
53906217,00000511,false,Rx,0,8,40,00,00,F8,49,92,04,C9,
53907044,00000230,false,Rx,0,8,4A,00,11,4C,45,01,39,CA,
53908056,00000510,false,Rx,0,8,49,92,00,C8,49,92,FC,FF,
53909098,00000550,false,Rx,0,8,00,00,FF,FF,FF,FF,FF,FF,
53909337,00000525,false,Rx,0,8,00,00,00,C0,00,00,FC,FF,
53909586,00000526,false,Rx,0,8,00,00,FC,FF,00,F0,FF,FF,
53911072,00000600,false,Rx,0,8,00,00,1E,FF,11,27,12,27,
53911321,00000310,false,Rx,0,8,01,00,FC,FF,00,00,FF,FF,
53911560,000005F0,false,Rx,0,8,B6,76,4D,1F,14,27,04,64,
53914098,00000200,false,Rx,0,8,02,00,00,80,AA,11,BE,BD,
53915064,00000210,false,Rx,0,8,21,0A,00,80,00,14,9F,4C,
53916056,00000220,false,Rx,0,8,46,01,00,80,01,11,F3,09,
53917067,00000524,false,Rx,0,8,00,80,FF,FF,00,90,FF,FF,
53918259,00000520,false,Rx,0,8,41,80,20,C0,00,90,FF,FF,
53918499,00000521,false,Rx,0,8,00,F0,FF,FF,49,92,E4,FF,
53918727,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
53918976,00000523,false,Rx,0,8,F9,FF,FF,FF,F9,FF,FF,FF,
53919204,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,0F,45,7A,
53921066,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
53923094,00000420,false,Rx,0,8,00,00,00,00,42,00,00,FF,
53924116,00000200,false,Rx,0,8,07,00,00,80,AA,21,BE,FC,
53925063,00000210,false,Rx,0,8,33,0A,00,80,00,24,9C,2A,
53925611,00000410,false,Rx,0,8,C4,FF,FF,F8,FF,FF,FF,FF,
53926066,00000220,false,Rx,0,8,5A,01,00,80,01,21,F1,41,
53928150,00000510,false,Rx,0,8,49,92,24,C8,49,92,FC,FF,
53930673,00000310,false,Rx,0,8,01,00,FC,FF,00,00,FF,FF,
53931084,00000600,false,Rx,0,8,00,00,1E,FF,11,27,12,27,
53934113,00000200,false,Rx,0,8,02,00,00,80,AA,31,BF,65,
53935079,00000210,false,Rx,0,8,19,0A,00,80,00,34,9A,2C,
53936069,00000220,false,Rx,0,8,1D,01,00,80,01,31,FF,FA,
53937080,00000524,false,Rx,0,8,00,80,FF,FF,49,92,FF,FF,
53938265,00000520,false,Rx,0,8,41,92,20,C9,41,90,FF,FF,
53938495,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
53939135,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,1F,44,B6,
53941070,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
53944119,00000200,false,Rx,0,8,08,00,00,80,AA,41,BE,2B,
53945075,00000210,false,Rx,0,8,30,0A,00,80,00,44,9C,31,
53946076,00000220,false,Rx,0,8,30,01,00,80,01,41,F8,63,
53950692,00000310,false,Rx,0,8,01,00,FC,FF,00,00,FF,FF,
53951073,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
53951321,000005F1,false,Rx,0,8,55,28,28,FF,FF,FF,FF,FF,
53953054,00000510,false,Rx,0,8,49,92,24,C9,49,92,FC,FF,
53954117,00000200,false,Rx,0,8,01,00,00,80,7A,51,E2,BE,
53955085,00000210,false,Rx,0,8,1F,0A,00,80,00,54,9A,62,
53956076,00000220,false,Rx,0,8,5A,01,00,80,01,51,F0,A5,
53958251,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
53959145,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,2F,44,A2,
53961091,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
53964128,00000200,false,Rx,0,8,05,00,00,80,AA,61,BE,EE,
53965094,00000210,false,Rx,0,8,2E,0A,00,80,00,64,9E,57,
53966086,00000220,false,Rx,0,8,5A,01,00,80,01,61,F0,B1,
53970702,00000310,false,Rx,0,8,01,00,FC,FF,00,00,FF,FF,
53971092,00000600,false,Rx,0,8,00,00,1E,FF,11,27,12,27,
53974139,00000200,false,Rx,0,8,FF,FF,FF,7F,AA,71,BF,48,
53975105,00000210,false,Rx,0,8,1B,0A,00,80,00,74,9A,3E,
53976098,00000220,false,Rx,0,8,51,01,00,80,01,71,F0,06,
53978271,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
53979156,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,3F,45,6E,
53980095,00000511,false,Rx,0,8,40,00,00,F8,49,96,04,C9,
53980323,00000521,false,Rx,0,8,00,F0,FF,FF,4B,92,E4,FF,
53981098,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
53984146,00000200,false,Rx,0,8,06,00,00,80,AA,81,BF,55,
53985112,00000210,false,Rx,0,8,1F,0A,00,80,00,84,9B,FE,
53986104,00000220,false,Rx,0,8,46,01,00,80,01,81,F3,65,
53990720,00000310,false,Rx,0,8,01,00,FC,FF,00,00,FF,FF,
53991119,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
53994157,00000200,false,Rx,0,8,07,00,00,80,A7,91,BB,D8,
53995123,00000210,false,Rx,0,8,2C,0A,00,80,00,94,9F,F1,
53996115,00000220,false,Rx,0,8,4F,01,00,80,01,91,F2,30,
53998288,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
53999204,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,4F,44,8A,
54000113,00000521,false,Rx,0,8,00,F0,FF,FF,CB,92,EC,FF,
54001133,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
54001381,00000320,false,Rx,0,8,8E,06,00,FF,00,00,A7,00,
54004174,00000200,false,Rx,0,8,04,00,00,80,AA,A1,BF,6F,
54005150,00000210,false,Rx,0,8,21,0A,00,80,00,A4,9E,F8,
54005379,00000511,false,Rx,0,8,40,00,00,F8,C9,B6,04,C9,
54006134,00000220,false,Rx,0,8,5A,01,00,80,01,A1,F0,E1,
54010731,00000310,false,Rx,0,8,01,00,FC,FF,00,00,FF,FF,
54011141,00000600,false,Rx,0,8,00,00,1E,FF,12,27,12,27,
54014179,00000200,false,Rx,0,8,03,00,00,80,AA,B1,BF,14,
54015145,00000210,false,Rx,0,8,29,0A,00,80,00,B4,9E,7C,
54016147,00000220,false,Rx,0,8,51,01,00,80,01,B1,F0,56,
54018321,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
54019205,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,5F,45,46,
54020123,00000521,false,Rx,0,8,00,F0,FF,FF,CB,96,EC,FF,
54021153,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
54024201,00000200,false,Rx,0,8,00,00,00,80,AA,C1,BE,C3,
54025157,00000210,false,Rx,0,8,2A,0A,00,80,00,C4,9F,AB,
54026149,00000220,false,Rx,0,8,65,01,00,80,01,C1,F5,C6,
54030748,00000310,false,Rx,0,8,01,00,FC,FF,00,00,FF,FF,
54031157,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
54034196,00000200,false,Rx,0,8,06,00,00,80,7A,D1,E2,A9,
54035162,00000210,false,Rx,0,8,47,0A,00,80,00,D4,96,DA,
54036154,00000220,false,Rx,0,8,46,01,00,80,01,D1,F3,59,
54038329,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
54039223,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,6F,45,52,
54040121,00000521,false,Rx,0,8,00,F0,FF,FF,CB,96,EC,FF,
54041151,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
54044201,00000200,false,Rx,0,8,07,00,00,80,AA,E1,BE,AC,
54045157,00000210,false,Rx,0,8,35,0A,00,80,00,E4,9C,1C,
54046150,00000220,false,Rx,0,8,44,01,00,80,01,E1,F2,AF,
54050767,00000310,false,Rx,0,8,01,00,FC,FF,00,00,FF,FF,
54051165,00000600,false,Rx,0,8,00,00,1E,FF,11,27,12,27,
54054213,00000200,false,Rx,0,8,02,00,00,80,AA,01,BF,71,
54055170,00000210,false,Rx,0,8,26,0A,00,80,00,04,9F,37,
54056161,00000220,false,Rx,0,8,46,01,00,80,01,01,F2,C5,
54058335,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
54059229,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,7F,44,9E,
54060148,00000521,false,Rx,0,8,00,F0,FF,FF,CB,96,EC,FF,
54061168,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
54064205,00000200,false,Rx,0,8,06,00,00,80,AA,11,BF,39,
54065172,00000210,false,Rx,0,8,2A,0A,00,80,00,14,9E,37,
54066173,00000220,false,Rx,0,8,30,01,00,80,01,11,F8,5F,
54070780,00000310,false,Rx,0,8,01,00,FC,FF,00,00,FF,FF,
54071178,00000600,false,Rx,0,8,00,00,1E,FF,10,27,11,27,
54071407,000005F0,false,Rx,0,8,B6,76,4D,1F,14,27,04,64,
54074220,00000200,false,Rx,0,8,05,00,00,80,A7,21,BB,8E,
54075187,00000210,false,Rx,0,8,19,0A,00,80,00,24,9B,E0,
54076178,00000220,false,Rx,0,8,46,01,00,80,01,21,F3,1D,
54078352,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
54079246,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,8F,44,DA,
54080164,00000521,false,Rx,0,8,00,F0,FF,FF,CB,96,EC,FF,
54081184,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
54084232,00000200,false,Rx,0,8,06,00,00,80,AA,31,BE,E1,
54085189,00000210,false,Rx,0,8,2C,0A,00,80,00,34,9F,89,
54086190,00000220,false,Rx,0,8,30,01,00,80,01,31,F9,87,
54090799,00000310,false,Rx,0,8,01,00,FC,FF,00,00,FF,FF,
54091198,00000600,false,Rx,0,8,00,00,1E,FF,11,27,12,27,
54094237,00000200,false,Rx,0,8,05,00,00,80,AA,41,BF,36,
54095204,00000210,false,Rx,0,8,24,0A,00,80,00,44,9F,25,
54096195,00000220,false,Rx,0,8,46,01,00,80,01,41,F3,35,
54098360,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
54099315,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,9F,45,16,
54100184,00000521,false,Rx,0,8,00,F0,FF,FF,CB,96,EC,FF,
54101214,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
54101453,00000321,false,Rx,0,8,8E,06,00,FF,00,00,A7,00,
54104255,00000200,false,Rx,0,8,0A,00,00,80,AA,51,BE,05,
54105212,00000210,false,Rx,0,8,30,0A,00,80,00,54,9D,FD,
54106213,00000220,false,Rx,0,8,3E,01,00,80,01,51,F8,81,
54106451,00000511,false,Rx,0,8,40,00,00,F8,C9,B6,04,C9,
54108289,00000510,false,Rx,0,8,49,92,24,C9,49,92,FC,FF,
54109244,00000550,false,Rx,0,8,00,00,FF,FF,FF,FF,FF,FF,
54109493,00000525,false,Rx,0,8,00,00,00,C0,00,00,FC,FF,
54109732,00000526,false,Rx,0,8,00,00,FC,FF,00,F0,FF,FF,
54111207,00000600,false,Rx,0,8,00,00,1E,FF,11,27,12,27,
54111457,00000310,false,Rx,0,8,00,00,FC,FF,00,00,FF,FF,
54114260,00000200,false,Rx,0,8,04,00,00,80,7A,61,E2,FF,
54115217,00000210,false,Rx,0,8,32,0A,00,80,00,64,9C,0B,
54116218,00000220,false,Rx,0,8,3B,01,00,80,01,61,F8,C0,
54118392,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
54119286,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,AF,45,02,
54120194,00000521,false,Rx,0,8,00,F0,FF,FF,CB,96,EC,FF,
54121225,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
54124272,00000200,false,Rx,0,8,03,00,00,80,AA,71,BF,44,
54125229,00000210,false,Rx,0,8,21,0A,00,80,00,74,9F,64,
54126230,00000220,false,Rx,0,8,51,01,00,80,01,71,F0,06,
54130826,00000310,false,Rx,0,8,00,00,FC,FF,00,00,FF,FF,
54131226,00000600,false,Rx,0,8,00,00,1E,FF,11,27,12,27,
54134274,00000200,false,Rx,0,8,07,00,00,80,AA,81,BE,84,
54135240,00000210,false,Rx,0,8,28,0A,00,80,00,84,9F,B9,
54136232,00000220,false,Rx,0,8,3B,01,00,80,01,81,F9,48,
54138406,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
54139300,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,BF,44,CE,
54140209,00000521,false,Rx,0,8,00,F0,FF,FF,CB,96,EC,FF,
54141230,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
54144278,00000200,false,Rx,0,8,02,00,00,80,AA,91,BF,1D,
54145234,00000210,false,Rx,0,8,1D,0A,00,80,00,94,9B,D0,
54146235,00000220,false,Rx,0,8,0C,01,00,80,01,91,FC,C3,
54150841,00000310,false,Rx,0,8,00,00,FC,FF,00,00,FF,FF,
54151241,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
54154278,00000200,false,Rx,0,8,02,00,00,80,A7,A1,BB,99,
54155245,00000210,false,Rx,0,8,10,0A,00,80,00,A4,9A,D9,
54156245,00000220,false,Rx,0,8,30,01,00,80,01,A1,F9,EB,
54158409,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
54159304,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,CF,45,2A,
54160223,00000521,false,Rx,0,8,00,F0,FF,FF,CB,96,EC,FF,
54161244,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
54164291,00000200,false,Rx,0,8,05,00,00,80,AA,B1,BF,72,
54165248,00000210,false,Rx,0,8,21,0A,00,80,00,B4,9F,34,
54166249,00000220,false,Rx,0,8,33,01,00,80,01,B1,F8,14,
54170855,00000310,false,Rx,0,8,00,00,FC,FF,00,00,FF,FF,
54171255,00000600,false,Rx,0,8,00,00,1E,FF,11,27,12,27,
54174304,00000200,false,Rx,0,8,03,00,00,80,AA,C1,BE,F0,
54175259,00000210,false,Rx,0,8,1D,0A,00,80,00,C4,9B,EC,
54176251,00000220,false,Rx,0,8,46,01,00,80,01,C1,F2,95,
54178425,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
54179319,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,DF,44,E6,
54180237,00000521,false,Rx,0,8,00,F0,FF,FF,CB,96,EC,FF,
54181258,00000600,false,Rx,0,8,00,00,1E,FF,11,27,12,27,
54184306,00000200,false,Rx,0,8,FF,FF,FF,7F,AA,D1,BF,30,
54185262,00000210,false,Rx,0,8,1B,0A,00,80,00,D4,9A,46,
54186263,00000220,false,Rx,0,8,3B,01,00,80,01,D1,F9,74,
54190871,00000310,false,Rx,0,8,00,00,FC,FF,00,00,FF,FF,
54191271,00000600,false,Rx,0,8,00,00,1E,FF,11,27,12,27,
54194309,00000200,false,Rx,0,8,09,00,00,80,7A,E1,E2,42,
54195275,00000210,false,Rx,0,8,18,0A,00,80,00,E4,9A,61,
54196266,00000220,false,Rx,0,8,15,01,00,80,01,E1,FF,2E,
54198439,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
54199344,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,EF,44,F2,
54200263,00000521,false,Rx,0,8,00,F0,FF,FF,CB,96,EC,FF,
54201283,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
54201522,00000322,false,Rx,0,8,8E,06,00,FF,00,00,A7,00,
54204336,00000200,false,Rx,0,8,02,00,00,80,AA,01,BF,71,
54205292,00000210,false,Rx,0,8,12,0A,00,80,00,04,9B,43,
54206282,00000220,false,Rx,0,8,15,01,00,80,01,01,FE,A6,
54210889,00000310,false,Rx,0,8,00,00,FC,FF,00,00,FF,FF,
54211289,00000600,false,Rx,0,8,00,00,1E,FF,11,27,13,27,
54214337,00000200,false,Rx,0,8,02,00,00,80,AA,11,BE,BD,
54215292,00000210,false,Rx,0,8,1D,0A,00,80,00,14,9A,70,
54216293,00000220,false,Rx,0,8,3B,01,00,80,01,11,F9,24,
54218468,00000522,false,Rx,0,8,4B,92,FC,FF,49,92,E4,FF,
54219362,00000110,false,Rx,0,8,FF,7F,FE,7F,0D,0F,45,7A,
54220270,00000521,false,Rx,0,8,00,F0,FF,FF,CB,96,EC,FF,
54221301,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
54224340,00000200,false,Rx,0,8,05,00,00,80,AA,21,BF,1E,
54225306,00000210,false,Rx,0,8,28,0A,00,80,00,24,9F,C1,
54226296,00000220,false,Rx,0,8,65,01,00,80,01,21,F4,4E,
54230903,00000310,false,Rx,0,8,00,00,FC,FF,00,00,FF,FF,
54231303,00000600,false,Rx,0,8,00,00,1E,FF,11,27,11,27,
